ID,NPL_score,SMILES_no_chiral,SMILES_chiral
CHEMBL4100095,-0.767,c1ccc(NCCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,c1ccc(NCCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1
CHEMBL4070549,-0.57,c1ccc2c(CCCN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cccc2c1,c1ccc2c(CCCN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cccc2c1
CHEMBL3414630,-1.083,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1
CHEMBL3427569,-0.422,C#CCOc1ccc2[nH]cc(CC(C(=O)OC)N3C(=O)C=CC3=O)c2c1,C#CCOc1ccc2[nH]cc(CC(C(=O)OC)N3C(=O)C=CC3=O)c2c1
CHEMBL3126652,-0.837,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1
CHEMBL3126646,-0.96,Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1
CHEMBL1916680,-0.187,CN1CC2ON=C(c3ccc(N)cc3)C2C1,CN1CC2ON=C(c3ccc(N)cc3)C2C1
CHEMBL2063052,-0.417,O=c1[nH]ccc(=NCc2ccccc2)[nH]1,O=c1[nH]ccc(=NCc2ccccc2)[nH]1
CHEMBL2325183,-1.957,O=C(NCC(=O)c1ccccc1)Nc1ccc2nnsc2c1,O=C(NCC(=O)c1ccccc1)Nc1ccc2nnsc2c1
CHEMBL2047707,-0.065,CSc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)cc2)=NO)cc1,CSc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)cc2)=NO)cc1
CHEMBL2047693,-0.178,O=C(NCCSSCCNC(=O)C(Cc1ccc(F)c(Br)c1)=NO)C(Cc1ccc(F)c(Br)c1)=NO,O=C(NCCSSCCNC(=O)C(Cc1ccc(F)c(Br)c1)=NO)C(Cc1ccc(F)c(Br)c1)=NO
CHEMBL1916684,-0.013,COc1ccc(CC2=NOC3CN(C)CC23)cc1,COc1ccc(CC2=NOC3CN(C)CC23)cc1
CHEMBL1416694,-1.269,CC(C)(C)CC(=O)Nc1cccc2c1CCCC2,CC(C)(C)CC(=O)Nc1cccc2c1CCCC2
CHEMBL1981446,-1.649,O=C(NN=Cc1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,O=C(N/N=C/c1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1
CHEMBL1433062,-0.844,COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1,COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1
CHEMBL1322547,1.401,CC=CC=CC(=O)C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC,CC=CC=CC(=O)C1C(=O)[C@]2(C)C(=O)C(C)(O)[C@H]1[C@H]([C@]1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC
CHEMBL167773,-0.79,COc1ccc(Cl)cc1C(=O)NCCc1ccc(O)cc1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(O)cc1
CHEMBL3134245,-0.902,COc1ccc(Cl)cc1C(=O)NCc1ccc(CCC(=O)O)cc1,COc1ccc(Cl)cc1C(=O)NCc1ccc(CCC(=O)O)cc1
CHEMBL3134243,-1.053,O=C(O)CCc1ccc(CCNC(=O)c2cc(C(F)(F)F)ccc2Cl)cc1,O=C(O)CCc1ccc(CCNC(=O)c2cc(C(F)(F)F)ccc2Cl)cc1
CHEMBL2063048,-0.941,O=C1N=C(NCc2ccco2)NCN1,O=C1N=C(NCc2ccco2)NCN1
CHEMBL2204997,-1.545,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C
CHEMBL2047688,0.553,O=C(NCCS)C(Cc1ccc(O)cc1)=NO,O=C(NCCS)C(Cc1ccc(O)cc1)=NO
CHEMBL2047705,-0.034,O=C(NCCCSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO,O=C(NCCCSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO
CHEMBL262082,-0.865,CCN(CC)CC1COC(c2ccc([N+](=O)[O-])cc2)=N1,CCN(CC)C[C@H]1COC(c2ccc([N+](=O)[O-])cc2)=N1
CHEMBL1564869,-0.373,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
CHEMBL179512,0.93,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O
CHEMBL4211688,-0.363,CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1
CHEMBL2385821,-1.005,Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1,Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1
CHEMBL3216134,-1.088,CC(=NN=C(N)N)c1ccc(C(=O)Nc2ccc(N=c3cc[nH]c4ccc(N(C)C)cc34)cc2)cc1,CC(=NN=C(N)N)c1ccc(C(=O)Nc2ccc(N=c3cc[nH]c4ccc(N(C)C)cc34)cc2)cc1
CHEMBL559715,0.741,NC(CCSCC1OC(n2cnc3c(=O)[nH]cnc32)C(O)C1O)C(=O)O,NC(CCSC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O
CHEMBL552246,0.136,N=c1[nH]cnc2c1nnn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,N=c1[nH]cnc2c1nnn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O
CHEMBL1536256,-1.875,COc1ccc(-c2nn(-c3ccccc3)cc2C=C2SC(=S)N(CCC(=O)O)C2=O)cc1,COc1ccc(-c2nn(-c3ccccc3)cc2/C=C2/SC(=S)N(CCC(=O)O)C2=O)cc1
CHEMBL1543134,-0.871,O=C(C=Cc1ccco1)N=CC(=O)NNc1c(O)[nH]c2ccccc12,O=C(C=Cc1ccco1)N=CC(=O)NNc1c(O)[nH]c2ccccc12
