ID,SMILES_chiral,SMILES_no_chiral,NPL_score
UNPD_subset_A_8355,CC1CCC1,CC1CCC1,0.309
UNPD_subset_A_8356,C[C@@H]1CC[C@H]2[C@H]1CNC[C@@H]2C,CC1CNCC2C(C)CCC12,1.25
UNPD_subset_A_8357,CC(C)=CC#N,CC(C)=CC#N,0.523
UNPD_subset_A_8358,C[C@@H](O)[C@H]1CC[C@]2(O)[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3C[C@@H](O)[C@]12C,CC(O)C1CCC2(O)C3CCC4CC(O)CCC4(C)C3CC(O)C12C,3.05
UNPD_subset_A_8359,C=N[C@]1(C)CC[C@@H]([C@H](C)/C=C/C=C(C)C)CC1,C=NC1(C)CCC(C(C)C=CC=C(C)C)CC1,1.822
UNPD_subset_A_8360,C[C@H]1CCCC[C@H]1C,CC1CCCCC1C,0.388
UNPD_subset_A_8361,CC(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1,CC(C)C1CCC(C)(O)C(O)C1,2.498
UNPD_subset_A_8362,CSC,CSC,-0.573
UNPD_subset_A_8363,CC(C)[C@H](C)[C@H]1C[C@@H]1[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(C)C(C)C1CC1C(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,2.466
UNPD_subset_A_8364,CC(C)[C@@H]1[C@H]2C[C@]3(C)[C@H]([C@H]21)[C@@](C)(O)CC[C@H]3O,CC(C)C1C2CC3(C)C(O)CCC(C)(O)C3C21,2.568
UNPD_subset_A_8365,CC(C)(O)[C@@H]1CC[C@@]2(C)CCC[C@@H]3C[C@@]32C1,CC(C)(O)C1CCC2(C)CCCC3CC32C1,2.472
UNPD_subset_A_8366,C[C@@H]1CC[C@H](O)[C@]23C[C@@H]4[C@H](C[C@@]12C)[C@]4(C)C3,CC1CCC(O)C23CC4C(CC12C)C4(C)C3,3.027
UNPD_subset_A_8367,CC(C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@@H]4[C@H]3CC[C@@]21C,CC(C)C=CC(C)C1CCC2C3CCC4CC(O)CCC4C3CCC12C,2.534
UNPD_subset_A_8368,CN=C=S,CN=C=S,-0.147
UNPD_subset_A_8369,C=C1CC[C@H]2C[C@@H]1C(C)(C)CC/C=C\2C,C=C1CCC2CC1C(C)(C)CCC=C2C,2.931
UNPD_subset_A_8370,CC1=CC(C)(C)[C@]23CCC[C@]12[C@@H](C)CC3,CC1=CC(C)(C)C23CCCC12C(C)CC3,3.131
UNPD_subset_A_8371,COc1cc2c(c(OC)c1)Oc1cc(OC)cc3c1[C@H](C2)N(C)CC3,COc1cc2c(c(OC)c1)Oc1cc(OC)cc3c1C(C2)N(C)CC3,0.896
UNPD_subset_A_8372,COc1c(Br)cc2cc(N)oc2c1Br,COc1c(Br)cc2cc(N)oc2c1Br,0.419
UNPD_subset_A_8373,COc1cc(OC)c2cc3occ(C)c3c(C)c2c1C,COc1cc(OC)c2cc3occ(C)c3c(C)c2c1C,0.851
UNPD_subset_A_8374,COc1c2c(c(C)c3c(C)coc13)[C@@H](C)CCC2,COc1c2c(c(C)c3c(C)coc13)C(C)CCC2,1.358
UNPD_subset_A_8375,C=C[C@H]1O[C@H]1[C@H]1O[C@H]1C#CC#CC#CC,C=CC1OC1C1OC1C#CC#CC#CC,3.16
UNPD_subset_A_8376,C=C[C@H]1C(=C)CC[C@H]2[C@H]1CC[C@@H]1C(C)(C)CCC[C@]21C,C=CC1C(=C)CCC2C1CCC1C(C)(C)CCCC21C,3.109
UNPD_subset_A_8377,CC#CC#C/C=C1\C=C[C@]2(CCCO2)O1,CC#CC#CC=C1C=CC2(CCCO2)O1,3.336
UNPD_subset_A_8378,C=C1C/C=C/C(C)(C)CC/C(C)=C/CC1,C=C1CC=CC(C)(C)CCC(C)=CCC1,3.013
UNPD_subset_A_8379,CC1=CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@]43C)[C@H]2[C@@H]1C,CC1=CCC2(C)CCC3(C)C(CCC4C5(C)CCCC(C)(C)C5CCC43C)C2C1C,3.093
UNPD_subset_A_8380,COc1cc2c(cc1OC)[C@]13CC[C@@H](OC)C[C@H]1N(CC3)C2,COc1cc2c(cc1OC)C13CCC(OC)CC1N(CC3)C2,1.502
UNPD_subset_A_8381,COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CCN3C[C@@H]2OC,COc1cc2c(cc1OC)C13CC(OC)C=CC1=CCN3CC2OC,2.478
UNPD_subset_A_8382,C[C@@H]1O[C@H](C=C=CBr)/C=C/[C@H](Cl)CC2=CC[C@H](Br)[C@@H]1O2,CC1OC(C=C=CBr)C=CC(Cl)CC2=CCC(Br)C1O2,2.984
UNPD_subset_A_8383,COc1cc2c(cc1OC)[C@H](C)N(C)CC2,COc1cc2c(cc1OC)C(C)N(C)CC2,0.722
UNPD_subset_A_8384,C=C1c2[nH]c(=N)[nH]c2C=Cc2[nH]c(=N)n(C)c21,C=C1c2[nH]c(=N)[nH]c2C=Cc2[nH]c(=N)n(C)c21,0.573
UNPD_subset_A_8385,C[C@H]1CC(C)(C)[C@H]2C[C@]3(C)CC[C@H]2[C@@]1(C)O3,CC1CC(C)(C)C2CC3(C)CCC2C1(C)O3,2.404
UNPD_subset_A_8386,c1c2c(cc3c1[C@H]1O[C@@H]4[C@@H](CCC5=NCC[C@@]534)O1)OCO2,c1c2c(cc3c1C1OC4CCC5=NCCC53C4O1)OCO2,2.268
UNPD_subset_A_8387,C[C@]12C[C@H]3OCC[C@@]3(CCO1)O2,CC12CC3OCCC3(CCO1)O2,2.899
UNPD_subset_A_8388,COc1cc2c(c(OC)c1OC)C[C@H]1c3c(c(OC)c4c(c3-2)OCO4)CCN1C,COc1cc2c(c(OC)c1OC)CC1c3c(c(OC)c4c(c3-2)OCO4)CCN1C,1.458
UNPD_subset_A_8389,C=N[C@]1(C)CC[C@@H]2[C@H]([C@@H]3[C@H](C)CC[C@H]31)C2(C)C,C=NC1(C)CCC2C(C3C(C)CCC31)C2(C)C,2.641
UNPD_subset_A_8390,COc1cc2c(cc1OC)CN(C)CC2,COc1cc2c(cc1OC)CN(C)CC2,-0.056
UNPD_subset_A_8391,C=C1CC[C@]23C[C@H]1C[C@@H]2CC[C@H]1C(C)(C)CCC[C@@]13C,C=C1CCC23CC1CC2CCC1C(C)(C)CCCC13C,3.474
UNPD_subset_A_8392,C=C[C@@]1(C)CC[C@@]2(C)[C@@H]3CCCC(=C)[C@@]3(C)CC[C@@H]2C1,C=CC1(C)CCC2(C)C(CCC3(C)C(=C)CCCC32)C1,3.461
UNPD_subset_A_8393,CC1(C)CCC2(CCC(C)(C)O2)O1,CC1(C)CCC2(CCC(C)(C)O2)O1,0.843
UNPD_subset_A_8394,CC1=CCC[C@]2(C)Cc3occ(C)c3C[C@@H]12,CC1=CCCC2(C)Cc3occ(C)c3CC12,3.107
UNPD_subset_A_8395,CC#CC#CC#CC#C/C=C/[C@@H]1CO1,CC#CC#CC#CC#CC=CC1CO1,2.442
UNPD_subset_A_8396,CCCCCCCCCCCCCCCCCCCC(C)C,CCCCCCCCCCCCCCCCCCCC(C)C,0.303
