ID,SMILES_chiral,SMILES_no_chiral,NPL_score
REAL_subset_2782,FC(F)c1ccc(C=CC(F)(F)F)o1,FC(F)c1ccc(C=CC(F)(F)F)o1,-0.579
REAL_subset_2783,COC1C(C)(C)C(NCCC2CCCN(C)C2)C1(C)C,COC1C(C)(C)C(NCCC2CCCN(C)C2)C1(C)C,0.312
REAL_subset_2784,COC1C(C)(C)C(NS(=O)(=O)CC#N)C1(C)C,COC1C(C)(C)C(NS(=O)(=O)CC#N)C1(C)C,0.043
REAL_subset_2785,COC1C(NC(=O)C23CC(C#N)(C2)C3)CC1(C)C,COC1C(NC(=O)C23CC(C#N)(C2)C3)CC1(C)C,0.58
REAL_subset_2786,COC1C(NC(=O)N[C@H]2C[C@@H](CS(N)(=O)=O)C2)CC12CCC2,COC1C(NC(=O)NC2CC(CS(N)(=O)=O)C2)CC12CCC2,0.043
REAL_subset_2787,COC1CC(C(=O)N2C[C@@H]3CC[C@H]([C@@H]2CO)N3C(=O)COC2(C)CCCC2)C1,COC1CC(C(=O)N2CC3CCC(C2CO)N3C(=O)COC2(C)CCCC2)C1,0.581
REAL_subset_2788,COC1CC(CC(=O)N2CC(C#N)(CCC(=O)O)C2)C1(C)C,COC1CC(CC(=O)N2CC(C#N)(CCC(=O)O)C2)C1(C)C,0.797
REAL_subset_2789,COC1CC(CC(=O)N2CCC(OCCN3CCCCC3)CC2)C1(C)C,COC1CC(CC(=O)N2CCC(OCCN3CCCCC3)CC2)C1(C)C,-0.129
REAL_subset_2790,COC1CC(CC(=O)OCC(=O)N2CCN(S(C)(=O)=O)CC2)C1(C)C,COC1CC(CC(=O)OCC(=O)N2CCN(S(C)(=O)=O)CC2)C1(C)C,-0.537
REAL_subset_2791,CC(C)C(C)(C)C(=O)N1CC2(CNC(=O)CC3CCOCC3(C)C)CCC1C2,CC(C)C(C)(C)C(=O)N1CC2(CNC(=O)CC3CCOCC3(C)C)CCC1C2,0.243
REAL_subset_2792,c1cc(-c2cncc3ccsc23)c2[nH]ncc2c1,c1cc(-c2cncc3ccsc23)c2[nH]ncc2c1,-1.522
REAL_subset_2793,CC(=O)NC1(C(=O)NC2CC(N(C)C(=O)C3OC[C@@H]4CCC[C@H]34)C2)CCCC1,CC(=O)NC1(C(=O)NC2CC(N(C)C(=O)C3OCC4CCCC43)C2)CCCC1,-0.237
