SMILES_chiral
CC1(C(=O)NC[C@H]2C[C@@H](O)CN2C(=O)C2=CC(C(F)(F)F)=CS2)COC1
NC(C1=CC=C(Br)C=C1)C1=CN(C2=CC=C(Cl)C=N2)N=N1
"C[C@@H]1CCC[C@H](CNC2(CO)CCCOC2)N1 |&1:1,5|"
"C[C@@H]1CCC[C@H]1C(=O)NCC1(CNC(=O)C2CCCC2(C)C)CCC1 |&1:1,5|"
"C[C@@H]1CCC[C@H]1C(=O)N[C@@H]1CCCCC[C@H]1NC(=O)C(O)(C1CC1)C1CC1 |&1:1,5,&2:9,15|"
"C[C@@H]1CCC[C@H]1C(=O)N[C@H]1C[C@H](NC(=O)[C@@H]2C[C@@H]3CC[C@H](C2)C3(F)F)C1 |&1:1,5|"
"C[C@@H]1CCO[C@@H]1C(=O)NC1(C(C)(C)O)CCOC1 |&1:1,5|"
"C[C@@H]1CCO[C@@H]1C(=O)NC1(C(F)(F)F)CCSCC1 |&1:1,5|"
"C[C@@H]1CCO[C@@H]1C(=O)NC1(CCC(=O)O)CCCC1 |&1:1,5|"
"C[C@@H]1CCO[C@@H]1C(=O)NC[C@@H]1C[C@H]1CNC(=O)C1CCSCC1 |&1:1,5,&2:10,12|"
