SMILES_chiral
CCC1=NN=C2CCC(NC3CC(C4=CC=C(Br)C=N4)C3)CN12
COCC(C)CS(=O)(=O)CC(O)COC(C)C
FC(F)(F)C1=NN=C(C2=CC=NC=C2)N1
FC(F)(F)C1=NN=C(C2=NC=CN2)N1
FC(F)(F)C=CC1=C2C=CC=CC2=NS1
FC(F)(F)C=CC1=CN=CC2=CC=CC=C12
FC(F)(F)SC1=NC=C(C2=CC=CS2)C=N1
FC(F)(F)SC1=NC=C(C2=CC=NN=C2)C=N1
FC1(F)CC1C1CN(C2=NC=CC=N2)C1
FC1(F)COCC1NC1CC2(C1)CC2(F)F
