SMILES_chiral
"CC1(C)CCC(C(=O)NCC2=CC=CC=C2CNC(=O)[C@@]23CCC[C@@H]2C3)OC1 |&1:20,24|"
FC1=NNC(C2=CC(C(F)(F)F)=NN2)=C1
"C[C@@H]1CN(C(=O)C2OCCOC23CCC3)C[C@@H]1NC(=O)CN1CCC(C)(C)C1 |&1:1,16|"
"C[C@@H]1CN(C(=O)[C@@H]2C[C@@H]3CC[C@H]2O3)C[C@@]1(C)CNC(=O)CC1CCSCC1 |&1:1,14,&2:6,8,11|"
"C[C@@H]1CN(C(=O)[C@@H]2C[C@@H]3CC[C@H]2O3)C[C@H]1CNC(=O)CC1(C#N)CCC1 |&1:1,14,&2:6,8,11|"
"C[C@@H]1CN(C(=O)[C@H](C2CCCCC2)N(C)C)C[C@@]1(C)CNC(=O)C1(C#N)CC1 |&1:1,17|"
C[C@@H]1CN(S(=O)(=O)C2CC2(C)C)C[C@@H](C)O1
"C[C@@H]1COC[C@@H]1NC(=O)[C@@H]1[C@H]2CCCC[C@H]21 |&1:1,5|"
"C[C@@H]1C[C@@H](CNC(=O)C2CCSCC2)CCN1C(=O)C1(C2CCCO2)CC1 |&1:1,3|"
"C[C@@H]1C[C@@H](CNC(=O)C2COCCN2C)CCN1C(=O)C1(CN(C)C)CC1 |&1:1,3|"
