SMILES_chiral
CSC1=NN(C)C=C1C(=O)N1C2CCC1CC(CC(C)NC(=O)C1CC1)C2
FC(F)(F)C1(C2=NC(C3=CC=CN=C3OC3=CC=CC=C3)=NO2)CCCNC1
"CN(CC(=O)N1CC[C@H]2[C@@H]1C[C@H]2NC(=O)CC1CSCCS1)C(N)=O |&1:8,9,11|"
"FC(F)(F)SC1=CC=CC(C2=NOC([C@]34CNC[C@@]3(F)CCOC4)=N2)=C1 |&1:14,18|"
CCOC(C(=O)N1C[C@@H]2C[C@@H]2[C@@H](NC(=O)[C@@H]2CSCN2C(C)=O)C1)C1CC1
"CCCN(C)CC(=O)N[C@@H]1CCN(C(=O)[C@@H]2CCCN2C(N)=O)C[C@H](O)C1 |&1:9,24|"
"CN(C)C1CCCN(CC(=O)N[C@@H]2[C@H]3C[C@@H]2N(C(=O)CS(N)(=O)=O)C3)C1 |&1:12,13,15|"
CNC(=O)N[C@@H](C)C(=O)N1C[C@@H](NC(=O)CC2CN3CCC2CC3)C[C@H]1CO
"CCCCC(=O)N[C@H]1CC[C@@H](O)CN(C(=O)[C@H]2C[C@H](OC)CN2C(C)=O)C1 |&1:7,10|"
"CCCN(C)CC(=O)N1CCC[C@@H]2CN(C(=O)C3CCCCS3)CC[C@@H]21 |&1:12,25|"
