SMILES_chiral
"COC(=O)[C@@H]1C[C@]12C[C@@H](NC(=O)C1=CC(OC)=CC(C3CC3)=C1)C2 |&1:4,6,8|"
CN(CC1=NN(C)C(C2=CC=CC=C2)=N1)C(CC1=NNN=N1)C(F)(F)F
"COC(=O)[C@@]12C[C@@H](NC(=O)NC3(C4CCCO4)CCOCC3)C[C@@H]1C2 |&1:4,6,23|"
CN(C)CCC1=NN(CC2=CC(F)=CC=C2F)C(C2=CN(C(C)(C)C)C=N2)=N1
"COC(=O)[C@]1(C)C[C@@H](C(=O)N[C@@H]2COC[C@@H]2NC(=O)C23CCCC(C2)OC3)C1 |&1:11,15|"
"COC1(C(=O)N[C@@H]2C[C@@]3(NC(=O)C(C)SC)CO[C@@H]2C3)CCOCC1 |&1:6,8,18|"
CN1C=NC=C1CN(CC1=CC(C2=CC=CC=N2)=NN1)CC(F)F
"COC12CCCC(C(=O)N[C@]3(C(=O)OC(C)(C)C)CCOC[C@H]3O)(CC1)C2 |&1:10,22|"
"COC(=O)[C@@H]1C[C@@H]1[C@@H]1C[C@@H]1NC(=O)[C@]12CC[C@H](C[C@@H]1NC(=O)OC(C)(C)C)C2 |&1:4,6,&2:7,9,&3:13,16,18|"
"COC(=O)C12CCC(C(=O)N[C@H]3C[C@H](NC(=O)[C@H]4CC[C@@H](C)O4)C3)(C1)OC2 |&1:17,20|"
