SMILES_chiral
CC(C(=O)N1CCCCC(=O)CC1)N1CCN(C(=O)OC(C)(C)C)CC1
BrC1=CC=C2NC(C3=NOC(C4=CSC=N4)=N3)=NC2=C1
"C[C@@H]1C[C@@]2(C(=O)NCC34CCCC(CN(C(=O)CN(C)C(N)=O)C3)C4)C[C@@H]12 |&1:1,3,26|"
"C[C@@H]1C[C@H](C(=O)NC[C@@H]2CC(F)(F)CN2C(=O)CCC(C)(C)C#N)CN1C |&1:1,3|"
"C[C@@H]1C[C@H](C(=O)NC[C@]2(F)C[C@@H](NC(=O)CN3CCC(O)CC3)C2)CN1C |&1:1,3|"
"C[C@@H]1C[C@H](C(=O)N[C@H]2C[C@]3(CCCCN3C(=O)CCNC(N)=O)C2)CN1C |&1:1,3|"
"C[C@@H]1C[C@H]1CCC(=O)NCC12CCCC(CN(C(=O)C(C)(F)F)C1)C2 |&1:1,3|"
"C[C@@H]1[C@H](C(=O)N2C[C@@H](F)C[C@H]2CNC(=O)C2(C#N)CCN(C)CC2)CCN1C |&1:1,2|"
"C[C@@H]1[C@H](C(=O)N2C[C@H]3C[C@@]3(CNC(=O)CCC(=O)OC(C)(C)C)C2)CCN1C |&1:1,2|"
"N#CC(C(=O)N1C[C@@H]2C[C@@H](NC(=O)CNC(=O)CC(F)(F)F)[C@H]1C2)C1CC1 |&1:7,9,22|"
